terminal_id,borough,zone
6644.07,Manhattan,Clinton
8778.01,The Bronx,Bedford Park
5430.1,Manhattan,Manhattan Community Board 1
8225.05,The Bronx,Bronx County
8344.04,The Bronx,Morris Heights
7159.08,Queens County,Astoria
5669.12,Manhattan,Manhattan Community Board 3
6708.04,Manhattan,Manhattan Community Board 5
5184.08,Manhattan,Manhattan Community Board 1
7619.05,Manhattan,Bloomingdale
7188.1,Manhattan,Manhattan Community Board 8
7520.07,Manhattan,Manhattan Community Board 7
7188.13,Manhattan,Manhattan Community Board 8
7116.04,Manhattan,NONE
7079.06,Manhattan,Manhattan Community Board 7
6890.01,Manhattan,Clinton
5687.04,Manhattan,University Village
5578.02,Manhattan,Manhattan Community Board 1
4042.08,Brooklyn,Prospect Heights
7636.05,Manhattan,East Harlem
6570.06,Queens County,NONE
6332.06,Queens County,Jackson Heights
6569.07,Manhattan,Manhattan Community Board 4
6621.06,Queens County,NONE
5403.04,Brooklyn,Greenpoint
5696.03,Manhattan,Manhattan Community Board 2
5195.06,Brooklyn,NONE
5065.14,Manhattan,Whitehall
6089.08,Manhattan,Manhattan Community Board 5
7141.07,Manhattan,Manhattan Community Board 7
5329.08,Manhattan,Manhattan Community Board 1
6923.2,Queens County,Astoria
4479.1,Brooklyn,NONE
5938.11,Manhattan,Manhattan Community Board 5
4847.03,Brooklyn,NONE
4107.13,Brooklyn,NONE
6765.01,Manhattan,Hudson Yards
8194.07,The Bronx,Bronx County
6072.16,Manhattan,Manhattan Community Board 2
8036.05,The Bronx,Melrose
5308.04,Brooklyn,NONE
6951.03,Queens County,NONE
7662.13,Manhattan,East Harlem
5515.02,Manhattan,Alphabet City
3233.06,Brooklyn,NONE
5805.07,Manhattan,University Village
6614.01,Queens County,Court Square
3660.07,Brooklyn,NONE
5422.04,Manhattan,Manhattan Community Board 2
7883.06,The Bronx,Hunts Point
7837.3,Manhattan,NONE
5137.13,Manhattan,Whitehall
7311.07,Manhattan,NONE
6325.01,Queens County,Sunnyside Gardens
6740.1,Manhattan,Manhattan Community Board 5
3431.02,Brooklyn,NONE
5763.03,Manhattan,University Village
7580.01,Manhattan,Bloomingdale
6451.07,Queens County,Jackson Heights
8156.03,The Bronx,Morrisania
7692.11,Manhattan,Manhattan Community Board 9
6209.05,Queens County,Sunnyside Gardens
5074.08,Queens County,Ridgewood
7128.08,Manhattan,NONE
4912.1,Queens County,Ridgewood
3507.04,Brooklyn,NONE
8107.1,The Bronx,Melrose
